,box,txt,score
0,"[[136.0, 42.0], [357.0, 39.0], [358.0, 81.0], [136.0, 83.0]]",全球午餐会,0.9798561334609985
1,"[[408.0, 38.0], [505.0, 38.0], [505.0, 66.0], [408.0, 66.0]]",第六期,0.9994613528251648
2,"[[398.0, 70.0], [520.0, 70.0], [520.0, 91.0], [398.0, 91.0]]",2023/04/07,0.9123428463935852
3,"[[135.0, 86.0], [376.0, 85.0], [376.0, 102.0], [135.0, 103.0]]",SJTU-CS GLOBALLUNCH,0.9218277335166931
4,"[[250.0, 106.0], [410.0, 106.0], [410.0, 119.0], [250.0, 119.0]]",SEMINAR SERIES,0.908930778503418
5,"[[146.0, 146.0], [630.0, 146.0], [630.0, 175.0], [146.0, 175.0]]",图论与组合问题的机器学习求解,0.9528497457504272
6,"[[300.0, 187.0], [469.0, 187.0], [469.0, 211.0], [300.0, 211.0]]",ABSTRACT,0.8855721950531006
7,"[[155.0, 230.0], [620.0, 230.0], [620.0, 244.0], [155.0, 244.0]]",图论与组合问题多具有高度计算复杂度，传统算法多依赖专家人工设,0.955062747001648
8,"[[154.0, 256.0], [619.0, 256.0], [619.0, 270.0], [154.0, 270.0]]",计。而数据驱动的方式对复杂问题进行求解，则成为近年来的一个新,0.9600929617881775
9,"[[153.0, 281.0], [619.0, 281.0], [619.0, 295.0], [153.0, 295.0]]",兴方向。本报告将分享课题组近年来在基于机器学习的图论与组合问,0.9856926798820496
10,"[[154.0, 308.0], [619.0, 308.0], [619.0, 322.0], [154.0, 322.0]]",题求解上的相关理论与算法的研究工作，及在EDA、联邦学习等场景,0.9547908902168274
11,"[[154.0, 335.0], [619.0, 335.0], [619.0, 349.0], [154.0, 349.0]]",的应用探索。最后，也将简要介绍项目组在量子人工智能，特别是量,0.962364912033081
12,"[[155.0, 361.0], [609.0, 361.0], [609.0, 375.0], [155.0, 375.0]]",子图机器学习方面的最新进展。相关工作主要发表在TPAMI、,0.9351227283477783
13,"[[153.0, 387.0], [484.0, 387.0], [484.0, 401.0], [153.0, 401.0]]",NeurIPS、ICML、SIGKDD等机器学习期刊和会议。,0.8971529006958008
14,"[[306.0, 433.0], [595.0, 433.0], [595.0, 447.0], [306.0, 447.0]]",严骏驰，CCF优博/杰出会员，上海交通大学,0.9310261607170105
15,"[[300.0, 455.0], [595.0, 455.0], [595.0, 468.0], [300.0, 468.0]]",计算机系副教授。科技部2030新一代人工智,0.9415625333786011
16,"[[301.0, 476.0], [595.0, 476.0], [595.0, 490.0], [301.0, 490.0]]",能青年项目负责人、基金委优青、教育部资,0.9484553933143616
17,"[[300.0, 498.0], [595.0, 498.0], [595.0, 512.0], [300.0, 512.0]]",源建设深度学习首席专家。曾任IBM研究院,0.9685752987861633
18,"[[301.0, 520.0], [595.0, 520.0], [595.0, 534.0], [301.0, 534.0]]",首席研究员。研究方向为机器学习。发表,0.9937230348587036
19,"[[300.0, 542.0], [595.0, 542.0], [595.0, 556.0], [300.0, 556.0]]",CCF-A类第一/通讯作者论文过百篇，引用超,0.9398118853569031
20,"[[157.0, 571.0], [275.0, 567.0], [275.0, 584.0], [158.0, 587.0]]",Speaker：严峻驰,0.9355210661888123
21,"[[301.0, 564.0], [597.0, 564.0], [597.0, 578.0], [301.0, 578.0]]",万次。任ICML、NeurIPS领域主席、Pattern,0.9062604904174805
22,"[[156.0, 588.0], [278.0, 588.0], [278.0, 602.0], [156.0, 602.0]]",CCF优博/杰出会员,0.9128748178482056
23,"[[300.0, 586.0], [416.0, 586.0], [416.0, 600.0], [300.0, 600.0]]",Recognition编委,0.9456554651260376
24,"[[151.0, 601.0], [282.0, 602.0], [282.0, 619.0], [151.0, 618.0]]",交大计算机系副教授,0.9943454265594482
25,"[[402.0, 655.0], [608.0, 655.0], [608.0, 675.0], [402.0, 675.0]]",未来智能，此时开启,0.910358190536499
26,"[[402.0, 675.0], [647.0, 675.0], [647.0, 688.0], [402.0, 688.0]]","future Intelligence, now we start",0.9418184757232666
27,"[[192.0, 697.0], [470.0, 700.0], [470.0, 720.0], [192.0, 717.0]]",品时间：4月7日午12：00-13：30,0.9022490382194519
28,"[[210.0, 717.0], [501.0, 720.0], [501.0, 741.0], [210.0, 738.0]]",参与方式：Bilibili直播间22797301,0.9476688504219055
29,"[[307.0, 739.0], [574.0, 739.0], [574.0, 756.0], [307.0, 756.0]]",电子信息与电气工程学院3号楼414,0.8794640898704529
30,"[[199.0, 779.0], [335.0, 776.0], [335.0, 804.0], [199.0, 806.0]]",上海文通大学,0.8473653197288513
31,"[[346.0, 783.0], [524.0, 783.0], [524.0, 803.0], [346.0, 803.0]]",计算机科学与工程系,0.9447433948516846
32,"[[250.0, 846.0], [353.0, 846.0], [353.0, 863.0], [250.0, 863.0]]",COWAROBOT,0.9680240154266357
33,"[[382.0, 852.0], [538.0, 852.0], [538.0, 875.0], [382.0, 875.0]]",I如辈语安全,0.757828414440155
34,"[[180.0, 868.0], [221.0, 868.0], [221.0, 881.0], [180.0, 881.0]]",GOKUTECH,0.938683032989502
35,"[[249.0, 865.0], [355.0, 865.0], [355.0, 878.0], [249.0, 878.0]]",酷哇机器人,0.9413272738456726
